season,player,possessions,DRAYMOND
2015,Jeff Withey,527.3348,1.676377
2018,Sean Kilpatrick,1349.361,-2.934147
2018,Jerian Grant,3482.644,0.188802
2018,Quincy Acy,2887.592,-0.3730273
2018,Vander Blue,97.67813,-1.584836
2018,Mason Plumlee,3035.99,1.226631
2015,Thaddeus Young,5240.882,-0.6484005
2018,Trey Lyles,2894.149,0.7216117
2019,James Ennis III,3105.211,-2.681576
2015,Luis Scola,3354.982,-0.166786
2015,Anthony Tolliver,2883.957,-1.327804
2014,Derrick Williams,3712.177,-1.087826
2016,Jonas Valanciunas,3701.146,0.544722
2017,RJ Hunter,18.68813,-5.858577
2014,Nick Collison,3129.278,1.165194
2016,DeMar DeRozan,6949.281,-1.227738
2014,Derek Fisher,3510.513,-1.847831
2017,Nick Collison,264.96,2.121317
2018,Glenn Robinson III,713.3121,-0.5962274
2016,Orlando Johnson,213.4971,-3.932835
2019,Donatas Motiejunas,64.94104,-2.152285
2019,Shai Gilgeous-Alexander,5090.393,0.8690116
2017,Gerald Henderson,3515.286,-0.6121926
2018,Ryan Anderson,3811.298,0.2810977
2018,Emmanuel Mudiay,2654.186,-1.878268
2016,Greg Smith,396.64,-0.9014956
2014,Ryan Gomes,71.97375,-2.448326
2014,Jeremy Lin,4640.929,1.291672
2016,Jeff Green,4806.692,-0.2984009
2018,Dion Waiters,1860.863,-0.7879786
2019,Omri Casspi,1100.558,1.847354
2015,Earl Clark,224.3619,2.153815
2017,Wilson Chandler,4594.934,1.287343
2016,Al Horford,6204.384,1.474515
2016,Rondae Hollis-Jefferson,1278.559,0.2855575
2017,Clint Capela,3844.894,0.4974688
2018,Julyan Stone,380.0417,3.165525
2019,Hamidou Diallo,1152.378,-0.6936448
2017,Quincy Acy,1184.051,1.414511
2018,Timothe Luwawu-Cabarrot,1747.996,0.367305
2017,John Lucas III,25.23354,-2.565577
2018,Alan Williams,143.8062,-2.083492
2014,Jarrett Jack,4446.292,0.5122418
2018,Markel Brown,63.51125,1.038327
2019,Deyonta Davis,266.5079,1.858426
2014,Victor Claver,390.4475,6.256834
2018,Joe Harris,4175.891,0.6878371
2017,Derrick Jones Jr.,1169.593,0.2260017
2014,Melvin Ely,48.54937,2.36033
2016,Cleanthony Early,308.8662,-0.4049935
2015,Kris Humphries,2683.614,0.5479826
2015,Jordan Clarkson,2904.953,-1.50967
2014,James Nunnally,338.0931,1.803979
2016,Josh Smith,1954.604,2.550437
2014,Jordan Farmar,1941.42,-0.8781861
2018,Kevin Durant,6633.352,1.12622
2017,Raymond Felton,3774.069,1.125193
2018,Walter Lemon Jr.,80.7625,0.1669948
2017,Gorgui Dieng,5309.316,-0.6243432
2015,Lou Amundson,1852.013,0.3897167
2019,Mario Hezonja,2549.434,-1.215411
2015,Gerald Wallace,592.4325,-2.519561
2016,Ersan Ilyasova,3855.711,-1.626567
2016,John Holland,1.89875,-41.41834
2019,Dusty Hannahs,57.18375,-0.8284373
2016,Kenneth Faried,3450.114,-1.712312
2015,Miles Plumlee,2459.292,-0.2006186
2019,Ben McLemore,365.8687,-2.747262
2018,Josh Smith,26.9,0.3151102
2016,Raymond Felton,4777.953,1.379913
2014,Alan Anderson,3969.544,-0.619294
2019,Jusuf Nurkic,4212.434,3.026743
2017,Myles Turner,5460.56,1.760744
2015,Richard Jefferson,2696.455,-0.0318836
2015,Ben McLemore,5422.881,0.3247414
2019,Ian Clark,2164.925,-1.949461
2016,Quincy Acy,1872.815,-0.5244219
2018,Trey McKinney-Jones,2.837917,-2.493646
2014,Hollis Thompson,3670.176,-1.666134
2018,Myles Turner,4147.365,0.9450559
2016,Clint Capela,3207.914,1.882456
2016,Greg Monroe,4644.391,-0.3191171
2017,Anderson Varejao,197.3017,-2.458655
2016,Al Jefferson,2554.31,-0.1928413
2015,Reggie Jackson,4496.042,-0.6737092
2018,Aaron Harrison,481.4848,-0.513968
2014,Ricky Rubio,5533.755,-1.315554
2015,Sebastian Telfair,630.3606,-0.997871
2017,Nikola Mirotic,3768.123,1.157348
2017,Treveon Graham,380.205,0.2399039
2018,Eric Gordon,5664.932,0.4217282
2019,Isaiah Hartenstein,484.1627,2.030051
2016,Omri Casspi,4027.508,-1.119891
2018,Sterling Brown,1624.498,-1.225191
2019,Cody Zeller,2638.526,1.639383
2016,Patty Mills,3770.266,-1.000788
2016,Taj Gibson,3922.82,1.072271
2017,Michael Gbinije,66.94,-8.43936
2019,Carmelo Anthony,616.175,-1.897101
2015,James Ennis III,2052.297,-1.775288
2019,Marc Gasol,6447.902,0.7448357
2016,David West,3199.85,0.9271451
